Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,59.930000,60.240002,58.470001,58.549999,57.733322,6496924
2020-05-07,58.650002,59.450001,58.299999,59.450001,58.620773,6896369
2020-05-08,59.820000,60.169998,58.959999,59.599998,58.768677,6327972
2020-05-11,60.070000,60.299999,58.410000,59.009998,58.186909,7082689
2020-05-12,58.820000,59.230000,58.599998,59.189999,58.364391,6554398
2020-05-13,58.400002,58.639999,56.509998,56.509998,55.721779,7414368
2020-05-14,56.099998,56.320000,54.419998,55.320000,54.548378,8884353
2020-05-15,56.000000,56.770000,55.330002,55.529999,54.755451,8218258
2020-05-18,56.349998,58.590000,56.200001,58.580002,57.762905,7908807
2020-05-19,58.919998,59.189999,57.540001,58.369999,57.555832,10691777
2020-05-20,57.970001,58.490002,57.349998,57.840000,57.033226,6888166
2020-05-22,57.200001,58.779999,56.730000,58.180000,57.368488,7853435
2020-05-25,58.509998,59.000000,58.070000,59.000000,58.177048,5314422
2020-05-26,59.500000,62.220001,59.250000,62.029999,61.164783,12101025
2020-05-27,62.200001,65.769997,62.099998,64.879997,63.975033,15094775
2020-05-28,65.570000,66.430000,65.150002,65.519997,64.606102,13273900
2020-05-29,64.330002,64.900002,63.459999,63.639999,62.752327,14754915
2020-06-01,64.419998,65.180000,63.880001,64.800003,63.896152,7106084
2020-06-02,65.540001,67.699997,65.190002,66.910004,65.976723,12050589
2020-06-03,67.980003,69.750000,67.559998,69.459999,68.491142,12167321
2020-06-04,69.419998,70.180000,68.199997,69.769997,68.796822,8914195
2020-06-05,70.500000,71.419998,70.040001,70.639999,69.654686,9877038
2020-06-08,70.639999,72.930000,70.550003,72.320000,71.311264,11289645
2020-06-09,72.320000,72.519997,69.879997,71.250000,70.256180,14793540
2020-06-10,71.290001,72.699997,71.040001,71.360001,70.364647,11622117
2020-06-11,69.739998,70.309998,67.400002,67.510002,66.568352,15189796
2020-06-12,66.300003,69.040001,66.099998,67.669998,66.726105,9940591
2020-06-15,66.089996,67.230003,65.699997,66.680000,65.749931,11270007
2020-06-16,68.660004,69.110001,67.430000,68.500000,67.544548,14615384
2020-06-17,68.500000,69.199997,67.360001,67.400002,66.459885,9415177
2020-06-18,67.000000,67.919998,66.160004,66.849998,65.917549,26158877
2020-06-22,66.199997,66.919998,65.769997,65.820000,64.901917,8096035
2020-06-23,66.500000,68.349998,66.220001,67.389999,66.450020,7606097
2020-06-24,67.080002,67.540001,64.989998,65.059998,64.152519,7285669
2020-06-25,64.610001,65.650002,64.169998,65.650002,64.734291,8017297
2020-06-26,65.910004,66.199997,63.860001,63.860001,62.969257,9356250
2020-06-29,63.860001,65.250000,63.540001,65.129997,64.221542,7301172
2020-06-30,65.180000,65.419998,63.849998,64.309998,63.412979,7804868
